TIME,X error,Y error,X,Y,thetaX,thetaY,slidingY,slidingY,error_x_dot,error_y_dot,saturation_x,saturation_y
1.679090738,-25,12,236,225,-3.153806899,0.90630741,-7.719,0.7385,0,0,-15.438,1.477
1.711021185,-25,13,236,224,-3.158909982,0.909981629,-7.7315,0.7415,0,0,-15.463,1.483
1.742880821,-25,12,236,225,-3.164013064,2.125740521,-7.744,0.951090356,0,0.015659036,-15.488,1.902180712
1.775421619,-25,12,236,225,-3.169116146,-0.200603131,-7.7565,0.595576257,0,-0.015217374,-15.513,1.191152515
1.80742979,-25,12,236,225,-3.174219228,0.921310472,-7.769,0.75075,0,0,-15.538,1.5015
1.839406967,-26,12,237,225,-3.179322311,0.924984691,-7.7815,0.75375,0,0,-15.563,1.5075
1.871022463,-25,12,236,225,-3.5,0.92865891,-8.313084565,0.75675,-0.015636152,0,-16.62616913,1.5135
1.903289795,-25,12,236,225,-2.673218058,0.932333129,-7.332549112,0.75975,0.01581503,0,-14.66509822,1.5195
1.935765266,-25,12,236,225,-3.194835681,0.936007348,-7.8195,0.76275,0,0,-15.639,1.5255
1.968089342,-25,12,236,225,-3.199938763,0.939681568,-7.832,0.76575,0,0,-15.664,1.5315
2.00783515,-24,13,235,224,-3.205041845,0.943355787,-7.8445,0.76875,0,0,-15.689,1.5375
2.031870127,-25,12,236,225,-2.778773035,1.932849465,-7.429601706,0.947549431,0.012579943,0.012579943,-14.85920341,1.895098863
2.079790831,-24,13,235,224,-3.5,-0.577686386,-8.493090467,0.566969844,-0.020803016,-0.020803016,-16.98618093,1.133939689
2.11213398,-24,13,235,224,-2.858864144,1.782803686,-7.518482895,0.932339035,0.010433903,0.010433903,-15.03696579,1.86467807
2.143925667,-24,12,235,225,-3.204531537,1.020055113,-7.8435,0.83125,0,0,-15.687,1.6625
2.174937725,-25,12,236,225,-3.209430496,-0.193071535,-7.8555,0.627226182,0,-0.015727382,-15.711,1.254452364
2.210170984,-24,13,235,224,-3.5,0.966319657,-8.401182827,0.7875,-0.016122761,0,-16.80236565,1.575
2.240159035,-24,12,235,225,-2.742445959,2.104603757,-7.441858016,0.986547328,0.014604733,0.014604733,-14.88371603,1.973094656
2.270923138,-25,13,236,224,-3.224331496,-0.251253493,-7.892,0.627016921,0,-0.016673308,-15.784,1.254033841
2.304003954,-24,12,235,225,-3.5,2.233358867,-8.441581258,1.009277086,-0.016252709,0.016252709,-16.88316252,2.018554172
