TIME,X error,Y error,X,Y
0.03207993507385254,-1,-1,212,238
0.06403303146362305,-1,-1,212,238
0.09600639343261719,-1,-1,212,238
0.12804722785949707,-1,0,212,237
0.1595292091369629,-1,-1,212,238
0.19147205352783203,-1,-1,212,238
0.2394402027130127,-1,-1,212,238
0.2720017433166504,-1,-1,212,238
0.3038163185119629,-1,-2,212,239
0.3361036777496338,-1,-1,212,238
0.3679933547973633,-1,-1,212,238
0.4003448486328125,-1,-1,212,238
0.431809663772583,-1,0,212,237
0.4642961025238037,0,-1,211,238
0.49596428871154785,-1,-1,212,238
0.5276443958282471,-1,-1,212,238
0.5598657131195068,-1,-1,212,238
0.5916452407836914,0,-1,211,238
0.6401858329772949,0,-2,211,239
0.6721799373626709,0,-1,211,238
0.7042403221130371,0,-2,211,239
0.7357165813446045,0,-1,211,238
0.7674820423126221,-1,-1,212,238
0.8001079559326172,-1,0,212,237
0.8317031860351562,-2,0,213,237
0.8639729022979736,-1,-1,212,238
0.8953099250793457,-1,-1,212,238
0.9276936054229736,0,-2,211,239
0.9595558643341064,0,-2,211,239
0.9913308620452881,1,-2,210,239
1.0395452976226807,1,-2,210,239
1.0714366436004639,0,-2,211,239
1.1042571067810059,0,-2,211,239
1.1356401443481445,-1,-2,212,239
1.1674394607543945,-1,-1,212,238
1.2000610828399658,-1,-1,212,238
1.2315568923950195,-1,-1,212,238
1.2636563777923584,-1,-1,212,238
1.2957706451416016,0,-1,211,238
1.3277018070220947,0,-2,211,239
1.3601229190826416,0,-1,211,238
1.3916265964508057,0,-2,211,239
1.4397480487823486,0,-2,211,239
1.4723484516143799,0,-2,211,239
1.504129409790039,-1,-1,212,238
1.5359244346618652,-2,0,213,237
1.567551612854004,-1,0,212,237
1.5996794700622559,-1,0,212,237
1.632258415222168,-2,-1,213,238
1.6637485027313232,-1,-1,212,238
1.6956820487976074,0,-2,211,239
1.7272415161132812,1,-2,210,239
1.7600352764129639,0,-3,211,240
1.7917780876159668,0,-2,211,239
1.8399879932403564,0,-2,211,239
1.871455192565918,-1,-1,212,238
1.903400182723999,-1,-1,212,238
1.9353430271148682,-1,0,212,237
1.9674768447875977,-2,0,213,237
1.9996907711029053,-2,0,213,237
2.031749963760376,-1,-1,212,238
2.0642080307006836,-1,-1,212,238
2.095776319503784,0,-2,211,239
2.127531051635742,0,-2,211,239
2.160061836242676,0,-2,211,239
2.1919620037078857,0,-1,211,238
2.2394886016845703,0,-1,211,238
2.272331714630127,-1,0,212,237
2.304248571395874,-1,0,212,237
2.336122989654541,-1,1,212,236
2.3676531314849854,-1,0,212,237
2.400299072265625,0,0,211,237
2.431453227996826,-1,-1,212,238
2.463404655456543,0,-1,211,238
2.495412826538086,0,-1,211,238
