TIME,X error,Y error,X,Y,thetaX,thetaY,slidingY,slidingY,error_x_dot,error_y_dot,saturation_x,saturation_y
0.03230476379394531,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.06321334838867188,-17,3,328,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.0951833724975586,-18,3,329,234,-0.41149077886658164,0.07400240137792471,-0.00557902917264471,0.003,0.01567097082735529,0.0,0,0
0.12810039520263672,-18,3,329,234,-0.9031116788507392,0.07400240137792471,-0.03864336299535051,0.003,-0.016143362995350515,0.0,0,0
0.15993762016296387,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.19147849082946777,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.24018168449401855,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.2719612121582031,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.30337023735046387,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.3358180522918701,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.3671135902404785,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.3990440368652344,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.4313778877258301,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.4631767272949219,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.49516820907592773,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.527437686920166,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.5594654083251953,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.5914208889007568,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.6398115158081055,-18,4,329,233,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.6713647842407227,-18,3,329,234,-0.6804109682248077,0.22301189452191994,-0.0225,0.014332579508782303,0.0,0.010332579508782302,0,0
0.7037100791931152,-18,3,329,234,-0.6804109682248077,-0.1196974915355124,-0.0225,-0.0128462189445687,0.0,-0.0158462189445687,0,0
0.7352688312530518,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.7674381732940674,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.7999286651611328,-17,3,328,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.8317241668701172,-17,3,328,234,-0.4157930469268604,0.07400240137792471,-0.005860882406897859,0.003,0.015389117593102143,0.0,0,0
0.864027738571167,-18,3,329,234,-0.6434046856513943,0.07400240137792471,-0.02125,0.003,0.0,0.0,0,0
0.8953423500061035,-18,3,329,234,-0.8942266475809565,0.07400240137792471,-0.03797816460133879,0.003,-0.015478164601338794,0.0,0,0
0.9273433685302734,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.9597272872924805,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
0.9911372661590576,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.0390570163726807,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.0714960098266602,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.1030652523040771,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.1353366374969482,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.16733980178833,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.1992461681365967,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.2320408821105957,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.263077735900879,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.295142650604248,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.3269639015197754,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.359201431274414,-17,3,328,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.391968011856079,-18,3,329,234,-0.4139521549787881,0.07400240137792471,-0.005740241467292871,0.003,0.01550975853270713,0.0,0,0
1.4390840530395508,-18,3,329,234,-0.8977081414460759,0.07400240137792471,-0.038238594661123115,0.003,-0.01573859466112312,0.0,0,0
1.4712979793548584,-18,3,329,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
1.5033903121948242,-17,3,328,234,-0.6804109682248077,0.07400240137792471,-0.0225,0.003,0.0,0.0,0,0
